player_name,country,teams_played_in,kd_ratio,rating,total_kills,headshot_percentage
ZywOo,France,"['Vitality', 'aAa']",1.38,1.27,21602,41.3
s1mple,Ukraine,['Natus Vincere'],1.34,1.25,34647,41.3
sh1ro,Russia,"['Gambit Youngsters', 'Gambit']",1.45,1.23,17320,27.9
deko,Russia,['1WIN'],1.37,1.22,8219,36.9
Kaze,Malaysia,"['ViCi', 'Flash', 'MVP.karnal']",1.32,1.2,16957,30.3
degster,Russia,"['Spirit', 'Espada']",1.3,1.19,13820,34.8
smooya,United Kingdom,"['BIG', 'Movistar Riders', 'Epsilon']",1.27,1.18,17883,27.7
sterling,New Zealand,"['Looking For Org', 'AVANT', 'Dire Wolves']",1.31,1.17,16815,31.5
XANTARES,Turkey,"['Eternal Fire', 'Space Soldiers', 'BIG']",1.2,1.17,36911,53.3
torzsi,Hungary,"['MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander']",1.26,1.17,8946,29.2
DANK1NG,China,"['TYLOO', 'EHOME']",1.25,1.16,7867,39.7
device,Denmark,"['Astralis', 'TSM']",1.25,1.16,36293,35
SENSEi,Ukraine,"['Run or Die', 'CR4ZY', 'Project X', 'Akuma']",1.33,1.16,8421,31.4
NiKo,Bosnia and Herzegovina,"['G2', 'FaZe', 'MOUZ']",1.19,1.16,33800,50.5
BnTeT,Indonesia,"['TYLOO', 'Gen.G', 'EXTREMUM']",1.23,1.15,20329,39.8
coldzera,Brazil,"['SK', 'FaZe', 'Luminosity', 'MIBR']",1.25,1.15,28326,49.4
XigN,Korea,"['NKT', 'MVP PK', 'MVP Project']",1.2,1.15,14100,52.3
Sico,New Zealand,"['Renegades', 'Grayhound', 'ORDER', 'Kings']",1.29,1.15,16985,35.2
blameF,Denmark,"['Astralis', 'Complexity', 'Heroic', 'Epsilon']",1.25,1.15,16962,39.2
KSCERATO,Brazil,['FURIA'],1.28,1.15,17117,49.6
Benkai,Singapore,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",1.2,1.14,12164,46.7
Jame,Russia,"['AVANGAR', 'Virtus.pro']",1.31,1.14,22028,25.2
XELLOW,Romania,['Nexus'],1.18,1.14,21580,40.8
Texta,Australia,"['Chiefs', 'Athletico', 'Dark Sided']",1.16,1.13,12510,40.3
mhL,Poland,"['MOUZ NXT', 'AGO']",1.2,1.13,9397,28.4
El1an,Russia,"['Entropiq', 'Winstrike', 'EPG']",1.23,1.13,25346,27.2
oskar,Czech Republic,"['MOUZ', 'SINNERS', 'HellRaisers']",1.2,1.13,29326,30.5
kennyS,France,"['G2', 'Envy', 'Titan']",1.21,1.13,37067,31.2
frozen,Slovakia,"['MOUZ', 'eXtatus']",1.17,1.13,23231,54.8
huNter-,Bosnia and Herzegovina,"['G2', 'Valiance', 'Binary Dragons']",1.16,1.12,29347,49.4
mantuu,Poland,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",1.21,1.12,13659,35.8
yuurih,Brazil,['FURIA'],1.19,1.12,19381,44.4
erkaSt,Mongolia,"['Grayhound', 'TIGER', 'Immunity']",1.17,1.12,17206,50.2
Freeman,Hong Kong,"['ViCi', 'TYLOO', 'VG.Flash']",1.18,1.12,14338,49.3
INS,Australia,"['Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",1.17,1.12,17975,42.4
chelleos,New Zealand,"['Paradox', 'Rooster', 'madlikewizards']",1.15,1.12,11255,32
vsm,Brazil,"['00NATION', 'DETONA']",1.16,1.12,10883,47
woxic,Turkey,"['Eternal Fire', 'HellRaisers', 'MOUZ', 'DarkPassage']",1.2,1.12,21900,32.3
liTTle,Russia,"['forZe', 'RuSh3D', 'Spartak', 'Enso']",1.2,1.12,9317,27.7
ropz,Estonia,['MOUZ'],1.21,1.12,21373,51.7
dream3r,Bulgaria,"['SKADE', 'E-frag.net', 'Fiend']",1.21,1.12,24015,49.7
kNgV-,Brazil,"['MIBR', 'INTZ']",1.17,1.12,16548,32.7
Jamppi,Finland,"['SJ', 'ENCE']",1.16,1.12,10302,31.8
wrath,United States,"['New Identity', 'Secret Club', 'BlackOut']",1.13,1.12,10634,50.1
xsepower,Russia,"['K23', 'forZe']",1.24,1.11,23591,24.9
oSee,United States,"['Extra Salt', 'Singularity', 'Cloud9']",1.19,1.11,20626,31.8
PTC,Thailand,"['Lucid Dream', '5POWER']",1.18,1.11,9304,36.1
GuardiaN,Slovakia,"['Natus Vincere', 'FaZe']",1.19,1.11,30375,29.6
Twistzz,Canada,"['FaZe', 'Liquid']",1.18,1.11,25698,62.3
